Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"29,348.0",67.3,40.8
Cropland,"99,905.2",263.1,139.6
"Wooded Areas","1,074.6",25.2,2.6
Wetlands,149.0,3.5,0.4
"Open Land","17,658.4",100.0,24.6
"Barren Areas",20.2,1.4,0.1
"Low-Density Mixed",209.8,6.8,0.7
"Medium-Density Mixed",445.3,7.9,0.8
"High-Density Mixed",23.6,0.4,0.0
"Low-Density Open Space",131.0,4.3,0.4
"Farm Animals",0.0,"2,155.6",501.1
"Stream Bank Erosion","92,369.0",50.0,31.0
"Subsurface Flow",0.0,"3,317.9",41.3
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,52.6,0.0
