Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.31,0.22,0.09,0.00,0.52,2.73
Feb,0.37,0.14,0.23,0.00,1.25,2.74
Mar,0.59,0.12,0.48,0.00,3.32,4.03
Apr,0.53,0.01,0.52,0.00,6.90,4.21
May,0.42,0.00,0.42,0.00,7.18,4.01
Jun,0.30,0.00,0.30,0.00,2.58,2.47
Jul,0.23,0.00,0.23,0.00,1.87,1.89
Aug,0.17,0.00,0.17,0.00,1.94,1.94
Sep,0.14,0.02,0.12,0.00,2.34,2.70
Oct,0.11,0.02,0.09,0.00,2.43,2.99
Nov,0.12,0.05,0.06,0.00,1.81,3.12
Dec,0.15,0.10,0.05,0.00,0.67,3.18
Total,3.44,0.68,2.76,0.00,32.81,36.01
