Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"5,983.0",38.6,16.3
Cropland,"1,850.3",6.0,2.9
"Wooded Areas","2,403.7",24.0,4.3
Wetlands,23.2,2.2,0.1
"Open Land","36,487.8",334.6,55.6
"Barren Areas",6.3,2.7,0.1
"Low-Density Mixed",828.7,25.8,2.6
"Medium-Density Mixed","5,684.5",104.2,10.5
"High-Density Mixed",605.2,11.1,1.1
"Low-Density Open Space",754.2,23.4,2.4
"Farm Animals",0.0,"2,237.8",518.5
"Stream Bank Erosion","489,095.0",255.0,169.0
"Subsurface Flow",0.0,"6,419.0",81.5
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,586.1,0.0
