Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.23,0.08,0.15,0.00,0.66,2.29
Feb,0.40,0.13,0.27,0.00,1.53,2.70
Mar,0.50,0.04,0.46,0.00,3.76,4.15
Apr,0.47,0.00,0.47,0.00,6.77,4.09
May,0.36,0.00,0.36,0.00,4.73,3.36
Jun,0.26,0.00,0.26,0.00,1.77,1.72
Jul,0.20,0.00,0.20,0.00,2.45,2.45
Aug,0.15,0.00,0.14,0.00,2.94,2.96
Sep,0.12,0.02,0.10,0.00,2.46,2.86
Oct,0.08,0.01,0.08,0.00,2.75,3.04
Nov,0.09,0.03,0.06,0.00,1.82,2.91
Dec,0.11,0.05,0.05,0.00,0.87,2.67
Total,2.97,0.36,2.60,0.00,32.51,35.20
