Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"32,706.8",117.3,56.7
Cropland,"101,017.0",309.6,139.1
"Wooded Areas","1,423.7",22.2,2.8
Wetlands,"1,207.7",24.5,2.7
"Open Land","9,011.0",49.5,12.1
"Barren Areas",782.9,35.6,2.1
"Low-Density Mixed",303.0,9.7,1.0
"Medium-Density Mixed",554.7,10.1,1.0
"High-Density Mixed",52.3,1.0,0.1
"Low-Density Open Space",347.1,11.1,1.1
"Farm Animals",0.0,"2,271.5",528.1
"Stream Bank Erosion","209,426.0",126.0,67.0
"Subsurface Flow",0.0,"5,720.0",76.4
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,66.9,0.0
