"State","County","FIPS","HUC12","Watershed Name","Watershed Total Area (acre)",".",".",".","."
"UT","","","160202010302","White Lake","30023.05","","","",""
"","","","","","","","","",""
"Watershed Name","HUC12","Urban","Cropland","Pastureland","Forest","User Defined","Feedlots","Water","Other"
"White Lake","160202010302","694.54","3802.95","8931.59","14641.79","0","2.4358","107.64","1844.54"
"","","","","","","","","",""
"Watershed Name","HUC12","Beef Cattle","Dairy Cattle","Swine","Sheep","Horse","Chicken","Turkey","Duck"
"160202010302","White Lake","2041","757","145","593","393","6","26","40"
"","","","","","","","","",""
"Watershed Name","HUC12","Septic Systems","Population per Septic System","% Septic Failure Rate","","","","",""
"160202010302","White Lake","81","4","0.34","","","","",""
"","","","","","","","","",""
"Watershed Name","HUC12","Hydrological Soil Group","","","","","","",""
"160202010302","White Lake","C","","","","","","",""
