"State","County","FIPS","HUC12","Watershed Name","Watershed Total Area (acre)",".",".",".","."
"UT","","","160202010601","Clyde Knoll","28456.49","","","",""
"","","","","","","","","",""
"Watershed Name","HUC12","Urban","Cropland","Pastureland","Forest","User Defined","Feedlots","Water","Other"
"Clyde Knoll","160202010601","337.15","2684.75","11893.88","13464.43","0","3.2434","1.78","74.5"
"","","","","","","","","",""
"Watershed Name","HUC12","Beef Cattle","Dairy Cattle","Swine","Sheep","Horse","Chicken","Turkey","Duck"
"160202010601","Clyde Knoll","2718","1008","193","790","523","8","35","54"
"","","","","","","","","",""
"Watershed Name","HUC12","Septic Systems","Population per Septic System","% Septic Failure Rate","","","","",""
"160202010601","Clyde Knoll","48","4","0.34","","","","",""
"","","","","","","","","",""
"Watershed Name","HUC12","Hydrological Soil Group","","","","","","",""
"160202010601","Clyde Knoll","C","","","","","","",""
