"State","County","FIPS","HUC12","Watershed Name","Watershed Total Area (acre)",".",".",".","."
"UT","","","160202010602","Enoch Canyon","28702.91","","","",""
"","","","","","","","","",""
"Watershed Name","HUC12","Urban","Cropland","Pastureland","Forest","User Defined","Feedlots","Water","Other"
"Enoch Canyon","160202010602","1449.13","432.78","8810.38","17887.41","0","2.4038","51.6","71.61"
"","","","","","","","","",""
"Watershed Name","HUC12","Beef Cattle","Dairy Cattle","Swine","Sheep","Horse","Chicken","Turkey","Duck"
"160202010602","Enoch Canyon","2014","747","143","585","388","6","26","40"
"","","","","","","","","",""
"Watershed Name","HUC12","Septic Systems","Population per Septic System","% Septic Failure Rate","","","","",""
"160202010602","Enoch Canyon","135","4","0.34","","","","",""
"","","","","","","","","",""
"Watershed Name","HUC12","Hydrological Soil Group","","","","","","",""
"160202010602","Enoch Canyon","C","","","","","","",""
